date,division,index
2012-01-01,06,104.81666666666666
2013-01-01,06,106.81666666666666
2014-01-01,06,109.88333333333333
2015-01-01,06,114.75
2016-01-01,06,117.89999999999999
2017-01-01,06,120.91666666666667
2018-01-01,06,121.88333333333333
2019-01-01,06,122.65833333333335
2020-01-01,06,124.10000000000001
2021-01-01,06,124.64166666666667
2022-01-01,06,125.52499999999999
2023-01-01,06,128.18333333333334
2024-01-01,06,130.48333333333332
2025-01-01,06,132.05833333333334
2010-01-01,07,100.01666666666667
2011-01-01,07,104.41666666666667
2012-01-01,07,105.14166666666667
2013-01-01,07,107.24166666666667
2014-01-01,07,112.39999999999999
2015-01-01,07,107.31666666666666
2016-01-01,07,102.43333333333334
2017-01-01,07,115.925
2018-01-01,07,117.675
2019-01-01,07,114.0
2020-01-01,07,102.61666666666667
2021-01-01,07,113.91666666666667
2022-01-01,07,119.24166666666667
2023-01-01,07,120.53333333333335
2024-01-01,07,121.675
2025-01-01,07,122.23333333333333
2010-01-01,08,100.00833333333333
2011-01-01,08,99.72500000000001
2012-01-01,08,99.08333333333333
2013-01-01,08,98.41666666666667
2014-01-01,08,97.72500000000001
2015-01-01,08,99.63333333333333
2016-01-01,08,98.05
2017-01-01,08,97.72500000000001
2018-01-01,08,96.01666666666667
2019-01-01,08,96.39999999999999
2020-01-01,08,97.5
2021-01-01,08,97.5
2022-01-01,08,97.49166666666667
2023-01-01,08,94.63333333333333
2024-01-01,08,93.16666666666667
2025-01-01,08,89.21666666666665
2010-01-01,09,99.98333333333333
2011-01-01,09,101.96666666666665
2012-01-01,09,103.175
2013-01-01,09,103.26666666666667
2014-01-01,09,104.93333333333334
2015-01-01,09,106.72500000000001
2016-01-01,09,109.43333333333334
2017-01-01,09,111.50833333333333
2018-01-01,09,111.00833333333333
2019-01-01,09,111.75833333333333
2020-01-01,09,112.33333333333333
2021-01-01,09,112.84166666666665
2022-01-01,09,115.35833333333333
2023-01-01,09,117.05
2024-01-01,09,119.175
2025-01-01,09,120.53333333333335
2010-01-01,10,100.0
2011-01-01,10,102.23333333333333
2012-01-01,10,104.68333333333334
2013-01-01,10,107.22500000000001
2014-01-01,10,109.75
2015-01-01,10,112.39999999999999
2016-01-01,10,114.825
2017-01-01,10,116.70833333333333
2018-01-01,10,118.03333333333335
2019-01-01,10,119.69166666666666
2020-01-01,10,120.89999999999999
2021-01-01,10,121.05
2022-01-01,10,122.39999999999999
2023-01-01,10,124.66666666666667
2024-01-01,10,126.59166666666665
2025-01-01,10,129.45833333333334
2010-01-01,11,100.0
2011-01-01,11,105.86666666666667
2012-01-01,11,109.00833333333333
2013-01-01,11,111.66666666666667
2014-01-01,11,116.85000000000001
2015-01-01,11,121.74166666666667
2016-01-01,11,125.10833333333333
2017-01-01,11,128.24166666666667
2018-01-01,11,130.18333333333334
2019-01-01,11,131.78333333333333
2020-01-01,11,132.36666666666667
2021-01-01,11,132.9
2022-01-01,11,139.53333333333333
2023-01-01,11,147.26666666666668
2024-01-01,11,151.85833333333332
2025-01-01,11,156.71666666666667
2010-01-01,12,99.98333333333333
2011-01-01,12,100.14166666666667
2012-01-01,12,101.39999999999999
2013-01-01,12,102.99166666666667
2014-01-01,12,104.48333333333333
2015-01-01,12,108.76666666666667
2016-01-01,12,111.25
2017-01-01,12,111.59999999999998
2018-01-01,12,110.28333333333335
2019-01-01,12,109.89166666666667
2020-01-01,12,109.88333333333334
2021-01-01,12,109.90000000000002
2022-01-01,12,110.075
2023-01-01,12,110.24166666666667
2024-01-01,12,110.5
2025-01-01,12,114.31666666666666
2010-01-01,13,100.01666666666667
2011-01-01,13,102.41666666666667
2012-01-01,13,104.39999999999999
2013-01-01,13,104.71666666666665
2014-01-01,13,105.35000000000001
2015-01-01,13,109.72500000000001
2016-01-01,13,112.875
2017-01-01,13,114.19166666666666
2018-01-01,13,112.575
2019-01-01,13,113.0
2020-01-01,13,115.99166666666667
2021-01-01,13,116.55833333333334
2022-01-01,13,118.86666666666667
2023-01-01,13,121.80833333333334
2024-01-01,13,125.46666666666665
2025-01-01,13,130.99166666666667
