university,type,field_category,programme,total_fee
APU,Private,Arts & Humanities,Bachelor of Arts (Honours) in Media and Communication Studies,100600.0
APU,Private,Computer Science & IT,BSc (Hons) in Computer Games Development,103000.0
APU,Private,Computer Science & IT,BSc (Hons) In Computer Science,103000.0
APU,Private,Computer Science & IT,Bachelor of Computer Science (Hons) (Artificial Intelligence),103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Computer Science (Cyber Security),103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Computer Science with a specialism in Data Analytics,103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Computer Science with a specialism in Digital Forensics,103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Information Technology with a specialism in Digital Transformation,103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Information Technology,103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Information Technology with a specialism in Business Information Systems,103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Information Technology with a specialism in Cloud Engineering,103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Information Technology with a specialism in Financial Technology (Fintech),103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Information Technology with a specialism in Information Systems Security,103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Information Technology with a specialism in Sustainable Computing,103000.0
APU,Private,Computer Science & IT,BSc (Hons) In Information Technology with a specialism in the Internet of Things (IoT),103000.0
APU,Private,Computer Science & IT,BSc (Hons) in Software Engineering,103000.0
APU,Private,Arts & Humanities,BA (Hons) in Industrial Design,103000.0
APU,Private,Engineering,B.Eng (Hons) in Computer Engineering,119600.0
APU,Private,Engineering,B. Eng (Hons) in Electrical & Electronic Engineering,119600.0
APU,Private,Engineering,B. Eng (Hons) in Mechatronic Engineering,119600.0
APU,Private,Engineering,B. Eng (Hons) in Petroleum Engineering,119600.0
APU,Private,Engineering,B.Eng in Mechanical Engineering with Honours,119600.0
APU,Private,Business,Ba (Hons) in Tourism Management,100600.0
APU,Private,Arts & Humanities,BA (Hons) in Tourism Management with a specialism in Hospitality,100600.0
APU,Private,Arts & Humanities,BSc (Hons) in Hospitality and Tourism,100600.0
APU,Private,Social Sciences,BA (Hons) in International Relations,100600.0
APU,Private,Social Sciences,Bachelor of Science (Honours) in Psychology,100600.0
Taylor's,Private,Accounting & Finance,Bachelor in Accounting (Fintech) (Hons),119200.0
Taylor's,Private,Law,"Bachelor in Philosophy, Politics and Economics (Honours)",119680.0
Taylor's,Private,Accounting & Finance,"Bachelor of Accounting and Finance (Hons) 2+1, University of Canterbury, NZ",285700.0
Taylor's,Private,Accounting & Finance,"Bachelor of Accounting and Finance (Hons) 3+0, UWE, Uk",121840.0
Taylor's,Private,Accounting & Finance,"Bachelor Of Business (Hons) Banking & Finance (3+0) with University of the West of England, UK",121840.0
Taylor's,Private,Business,"Bachelor Of Business (Hons) Finance & Economics (3+0) with University of the West of England, UK",121840.0
Taylor's,Private,Business,"Bachelor Of Business (Hons) International Business & Marketing (3+0) with University of the West of England, UK",129830.0
Taylor's,Private,Business,"Bachelor of Entrepreneurship (Honours) in Team Entrepreneurship (3+0) with University of West England, UK",110715.0
